ChickenPox,fever,18,
ChickenPox,headache,18,
ChickenPox,lossofappetite,18,
ChickenPox,scabs,18,
Polio,infantileparalysis,12,
Polio,stiffnessofneck,12,
Polio,fever,12,
Polio,lossofheadsupport,12,
Rabies,Severeheadache,28,
Rabies,highfever,28,
Rabies,Choking,28,
Rabies,fearofwater,28,
Tuberculosis,Persistentfever,52,
Tuberculosis,coughing,52,
Tuberculosis,chestpain,52,
Tuberculosis,generalweakness,52,
Typhoid,continuousfever,12,
Typhoid,headache,12,
Typhoid,slowpulserate,12,
Typhoid,reddishrashes,12,
Cholera,acutediarrohoea,3,
Cholera,ricewaterystool,3,
Cholera,muscularcramps,3,
Cholera,dehydration,3,
Malaria,headache,12,
Malaria,nausea,12,
Malaria,muscularpain,12,
Malaria,chilliness,12,
Malaria,shivering,12,
Malaria,fever,12,
Malaria,sweating,12,
Malaria,anaemic,12,
Malaria,weakness,12,
Denguefever,104-105°Ffever,5,
Denguefever,Severeheadache,5,
Denguefever,Nausea,5,
Denguefever,vomiting,5,
Denguefever,bodyaches,5,
Denguehemorrhagicfever,abdomenpain,7,
Denguehemorrhagicfever,rashes,7,
Denguehemorrhagicfever,"bleedingfromthenose,mouth",7,
Denguehemorrhagicfever,vomiting,7,
Denguehemorrhagicfever,Blackstools,7,
Denguehemorrhagicfever,excessivethirst,7,
Denguehemorrhagicfever,weakness,7,
Measles,cold,4,
Measles,smallwhitepatches,4,
Measles,rashes,4,
H1N1influenza(Swineflu),fever,5,
H1N1influenza(Swineflu),sorethroat,5,
H1N1influenza(Swineflu),muscleaches,5,
H1N1influenza(Swineflu),chills,3,
H1N1influenza(Swineflu),fatigue,5,
H1N1influenza(Swineflu),vomiting,4,
H1N1influenza(Swineflu),diarrhea,5,
Diphtheria,runnynose,10,
Diphtheria,malaise,8,
Diphtheria,breathingproblems,10,
Diphtheria,swallowingproblems,10,
Meningitis,extremeheadache,7,
Meningitis,neckstiffness,7,
Meningitis,backstiffness,7,
Meningitis,eyepain,6,
Meningitis,nausea,7,
Meningitis,bodyaches,7,
Meningitis,fever,9,
Meningitis,sleepy,10,
Meningitis,vomiting,9,
Mumps,fatigue,20,
Mumps,bodyaches,19,
Mumps,lossofappetite,14,
Mumps,lowgradefever,20,
Scabies,Intenseitching,56,
Scabies,skinrash,50,
Scabies,lossofsleep,50,
Tonsillitis,sorethroat,5,
Tonsillitis,paininswaolling,5,
Tonsillitis,fever,7,
Tonsillitis,stomachaches,5,
Tonsillitis,headaches,5,
Tonsillitis,stiffneck,7,
Tonsillitis,scratchyvoice,5,
Tonsillitis,chills,7,
StrepThroat,highfever,5,
StrepThroat,swollentonsils,5,
StrepThroat,whitepatchesonthroat,7,
StrepThroat,reddotsonmouth,7,
StrepThroat,appetiteloss,7,
StrepThroat,stomachache,5,
StrepThroat,nausea,6,
StrepThroat,vomitting,6,
StrepThroat,rash,7,
Rabbitfever,lossofappetite,14,
Rabbitfever,fever,21,
Rabbitfever,agitation,21,
Rabbitfever,vomitting,14,
Rabbitfever,diarrhea,14,
Rabbitfever,swellingoflumphnodes,21,
Salmonella,stomachache,2,
Salmonella,bolldinstools,1,
Salmonella,cold,3,
Salmonella,fever,2,
Salmonella,diarrhea,2,
Hiv,fever,8,
Hiv,headache,9,
Hiv,sorethroat,8,
Hiv,muscleaches,9,
Hiv,jointpain,8,
Hiv,Swollenlymphnodes,9,
Hiv,Nightsweats,8,
Hiv,dirrehrea,9,
Hiv,Nightsweats,9,
Hantavirus,extremefever,2,
Hantavirus,bodyaches,5,
Hantavirus,vomitting,5,
Hantavirus,redrash,3,
Hantavirus,breathingdifficulty,3,
Hantavirus,stomachache,5,
Hantavirus,nausea,5,
HepatitisA,stomachache,20,
HepatitisA,jointpain,20,
HepatitisA,musclepain,20,
HepatitisA,nausea,20,
HepatitisA,vomiting,20,
HepatitisA,diarrhoea,20,
HepatitisA,fatigue,20,
HepatitisA,fever,19,
HepatitisA,lossofappetite,20,
HepatitisA,darkurine,20,
HepatitisA,weightloss,20,
HepatitisA,itching,20,
HepatitisA,weightloss,20,
HepatitisA,yellowskin,20,
HepatitisA,yelloweyes,20,
HepatitisB,tiredness,25,
HepatitisB,generalaches,25,
HepatitisB,fever,25,38C
HepatitisB,feelingunwell,25,
HepatitisB,lossofappetite,25,
HepatitisB,jaundice,25,
HepatitisB,darkurine,25,
HepatitisB,palegrey-colouredpoo,25,
HepatitisC,feelingtired,50,
HepatitisC,muscleaches,50,
HepatitisC,feelingsick,50,
HepatitisC,brainfog,50,
HepatitisC,moodswings,50,
HepatitisC,anxiety,50,
HepatitisC,bloating,50,
HepatitisC,itchyskin,50,
CommonCold,sorethroat,10,
CommonCold,runnynose,10,
CommonCold,cough,10,
CommonCold,sneezing,10,
Generalisedanxietydisorder(GAD),restlessness,,
Generalisedanxietydisorder(GAD),asenseofdread,,
Generalisedanxietydisorder(GAD),difficultyconcentrating,,
Generalisedanxietydisorder(GAD),irritability,,
Diarrhoea,stomachcramps,5,
Diarrhoea,nausea,5,
Diarrhoea,vomiting,5,
Diarrhoea,lossofappetite,5,
flu,suddenfever,3,38C
